# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = eibb_regression_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /home/bmfazio/git-repos/tesis-pucpstat/tesis-rsrc/endes_dump.R
# init = 2 (Default)
# random
#   seed = 3906157448
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bx.1,bx.2,bx.3,bx.4,bx.5,bx.6,bx.7,bz.1,bz.2,bz.3,bz.4,bz.5,bz.6,bz.7,rho,sigma
# Adaptation terminated
# Step size = 0.231854
# Diagonal elements of inverse mass matrix:
# 0.000334999, 0.000243471, 0.000384148, 0.000636853, 9.5037e-05, 6.08163e-05, 0.00015092, 0.000109505, 6.97973e-05, 0.000107839, 0.000185078, 3.26917e-05, 2.07949e-05, 4.1005e-05, 0.00455467, 6.93995e-05
-57224.3,0.99345,0.231854,4,15,0,57235.4,-0.817615,0.0649639,-0.0588602,-0.0187223,0.00507084,-0.044003,0.173029,0.357638,0.0872312,-0.0725104,-0.0490405,0.0153203,-0.0346464,0.12856,0.0407245,0.52775
-57219.9,0.917576,0.231854,4,31,0,57229.8,-0.843048,0.0883641,-0.0708419,-0.0246721,0.00273321,-0.0415757,0.181293,0.373637,0.0789127,-0.0465816,-0.0662754,0.0280046,-0.0408126,0.125007,0.0481279,0.523366
-57224.9,0.899782,0.231854,4,15,0,57233.9,-0.826579,0.0760079,-0.0886997,-0.061609,-0.0116706,-0.0308565,0.181239,0.358457,0.0750654,-0.0464255,-0.036716,0.0171196,-0.0365098,0.137666,0.0446227,0.522216
-57220.7,0.693609,0.231854,4,15,0,57231.5,-0.840484,0.091291,-0.042172,0.000642313,0.000638291,-0.0441117,0.175393,0.356145,0.080952,-0.0574893,-0.05472,0.0265435,-0.0409909,0.134322,0.042918,0.529719
-57220,0.861234,0.231854,5,47,0,57225.1,-0.861113,0.0791733,-0.0614621,0.0093357,0.000840704,-0.0366002,0.185934,0.361705,0.0868133,-0.0506522,-0.0453368,0.0197837,-0.0376612,0.131105,0.0469959,0.520369
-57222.2,0.989301,0.231854,4,15,0,57226.7,-0.827904,0.0773804,-0.0343637,-0.0400312,0.00267328,-0.0468623,0.172033,0.351369,0.0825756,-0.0603366,-0.0330441,0.0214391,-0.0387456,0.134313,0.0412924,0.529277
-57220.3,0.926476,0.231854,4,15,0,57228.8,-0.830773,0.070899,-0.0668283,-0.0172609,0.0127609,-0.0429328,0.169369,0.365572,0.089943,-0.0668521,-0.0604384,0.0208475,-0.0407805,0.129323,0.0453662,0.52397
-57222.7,0.953018,0.231854,5,31,0,57229,-0.877215,0.104036,-0.046761,0.000724583,0.000961537,-0.0303456,0.203253,0.360481,0.0768918,-0.0573495,-0.043729,0.0184625,-0.0361746,0.131627,0.0462593,0.522986
-57226.4,0.886625,0.231854,4,15,0,57231.5,-0.848804,0.0784208,-0.00550087,0.0347246,0.00969421,-0.053972,0.183609,0.366623,0.0729656,-0.0541813,-0.0578499,0.0157128,-0.0354614,0.135455,0.0465931,0.521673
-57222.9,0.995581,0.231854,4,31,0,57231.5,-0.819396,0.0790128,-0.0890526,-0.0556782,0.0044244,-0.0371642,0.178552,0.354323,0.102861,-0.0528244,-0.0548605,0.0252396,-0.0406109,0.128457,0.0447365,0.524611
